-14,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,
-14,-15,-16,5,5,1,5,5,1,5,5,5,5,
-14,6,5,1,4,4,0,4,25,21,17,13,9,
-14,-8,5,4,0,24,20,16,12,24,20,16,12,
-14,-12,-9,25,24,20,44,40,36,32,44,40,36,
-14,-15,-13,11,45,41,37,64,60,56,52,64,60,
-14,-15,-16,7,31,65,61,57,63,59,55,51,63,
-14,6,5,3,27,51,64,60,70,66,62,58,54,
-14,-8,5,25,23,47,71,84,80,90,86,82,78,
-14,6,12,11,24,43,57,70,104,100,96,92,88,
-14,-8,5,11,15,39,53,66,90,103,99,95,91,
-14,-12,-6,4,13,35,49,62,86,89,102,98,94,
-14,6,8,4,11,33,45,58,82,85,88,101,97,
-14,6,26,22,18,31,41,54,78,81,84,87,100,
-14,-8,12,46,42,38,51,61,74,98,101,104,107,
-14,-12,8,32,66,62,58,71,72,94,118,121,124,
-14,6,8,28,52,65,61,57,91,87,104,117,120,
-14,-8,5,28,48,51,85,81,77,111,107,124,137,
-14,-12,-4,25,48,47,71,105,101,97,131,127,144,
-14,-15,-6,16,45,47,67,91,104,111,117,151,147,
-14,-15,-8,14,36,44,63,87,90,103,113,137,150,
