-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,
-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,
-15,-16,5,5,-9,5,5,-9,5,5,5,5,5,
6,5,1,4,4,1,4,25,11,7,4,4,4,
2,5,4,0,24,10,6,21,24,10,6,3,3,
-2,1,25,24,20,44,30,26,31,44,30,26,23,
-6,-3,21,45,31,40,64,50,46,51,64,50,46,
-10,-7,17,41,65,51,60,63,49,47,60,63,49,
6,5,13,37,61,64,56,70,62,52,56,59,62,
2,5,25,33,57,71,84,70,90,82,72,68,69,
6,12,21,29,53,67,80,104,90,89,82,78,74,
2,8,17,25,49,63,76,100,103,89,88,81,77,
-2,4,13,21,45,59,72,96,99,102,88,87,80,
6,8,9,17,41,55,68,92,95,98,101,87,86,
6,26,12,13,37,51,64,88,91,94,97,100,86,
2,22,46,32,33,51,61,84,98,101,104,107,120,
-2,18,42,66,52,49,71,80,94,118,121,124,127,
6,14,38,62,65,51,67,91,90,114,117,120,123,
2,10,34,58,61,85,71,87,111,110,124,137,140,
-2,6,30,54,57,81,105,91,107,131,120,144,157,
-6,2,26,50,53,77,101,104,111,127,151,140,164,
