16,16,16,16,16,16,16,16,16,16,16,16,16,
16,16,16,16,7,16,16,7,16,16,16,16,16,
16,16,3,16,16,3,16,16,7,7,21,21,21,
3,16,16,31,16,7,7,3,16,21,21,21,21,
3,26,16,16,3,16,21,7,21,16,21,21,21,
26,26,26,16,7,31,16,7,21,21,16,21,21,
26,26,3,3,16,7,3,16,21,31,31,16,21,
16,16,3,3,3,16,31,16,21,7,7,31,16,
3,16,16,26,3,16,16,7,16,21,21,21,21,
16,16,3,26,3,3,26,16,7,21,7,7,7,
3,26,26,3,3,3,3,3,16,21,21,21,21,
3,3,26,11,3,3,3,3,26,16,21,21,21,
16,16,3,11,11,3,3,26,26,26,16,21,21,
16,16,7,11,11,3,3,26,26,26,26,16,21,
3,3,16,21,11,18,18,3,16,16,16,16,16,
3,3,26,16,7,23,16,11,18,16,16,16,16,
16,26,3,3,16,23,3,16,3,3,18,18,18,
3,26,26,26,26,16,21,3,16,31,16,16,16,
3,3,26,26,26,26,16,7,27,16,23,16,16,
26,11,26,26,26,26,26,16,16,26,16,23,16,
26,11,11,3,26,3,3,26,26,3,3,16,3,
